filename,R,G,B,BC_TOT
SP2-B201-G-H6.jpg,142.2526491912995,130.62632459564975,101.80145008365868,to_be_calculated
SP2-B201-G-H7.jpg,185.66146123814838,179.05298382598997,156.64863357501395,to_be_calculated
SP2-B201-G-H22.jpg,136.7239263803681,128.15114333519242,110.53430005577245,to_be_calculated
SP2-B201-G-H20.jpg,140.77133296151703,131.30619074177358,110.53206915783603,to_be_calculated
SP2-B201-G-H5.jpg,217.91578360290018,217.24874511991078,210.57947573898497,to_be_calculated
SP2-B201-G-H4.jpg,208.25655326268824,205.0223089793642,194.5973229224763,to_be_calculated
SP2-B201-G-H21.jpg,144.96151701059676,136.59007250418293,120.33128834355828,to_be_calculated
SP2-B201-G-H19.jpg,147.60011154489683,138.95761293920805,121.55493586168434,to_be_calculated
SP2-B201-G-H1.jpg,199.25041829336308,194.87228109314,182.05075292805356,to_be_calculated
SP2-B201-G-H18.jpg,178.19910764082545,173.15727830451758,157.80646960401563,to_be_calculated
SP2-B201-G-H3.jpg,199.0875627440045,194.16843279419967,179.51422197434468,to_be_calculated
SP2-B201-G-H2.jpg,219.77133296151703,219.44116006692695,211.4707194645845,to_be_calculated
SP1-B201-G-3.jpg,193.23424428332405,187.90128276631344,174.38817624093699,to_be_calculated
SP1-B201-G-2.jpg,225.07306190741775,226.1232571109872,221.89012827663134,to_be_calculated
SP1-B201-G-1.jpg,234.0680423870608,234.9983268265477,232.59955382041272,to_be_calculated
SP1-B201-G-5.jpg,181.87506971556053,172.90072504182933,153.51812604573342,to_be_calculated
SP1-B201-G-4.jpg,205.8611266034579,201.88232013385388,188.86335750139432,to_be_calculated
SP1-B201-G-6.jpg,141.3307306190742,130.92638036809817,109.04796430563303,to_be_calculated
SP2-B201-G-L8.jpg,161.09369771332962,151.05075292805356,126.18962632459565,to_be_calculated
SP2-B201-G-L9.jpg,202.83045175683213,199.66313441160068,185.97713329615172,to_be_calculated
SP1-B201-G-7.jpg,199.95538204127163,194.85443390964863,181.19687674288903,to_be_calculated
SP2-B201-G-L4.jpg,227.58895705521473,227.6525376464027,223.7005019520357,to_be_calculated
SP2-B201-G-L5.jpg,179.07027328499723,171.4015616285555,147.09425543781373,to_be_calculated
SP2-B201-G-L7.jpg,146.37088678192973,137.96876742889015,117.38204127161183,to_be_calculated
SP2-B201-G-L6.jpg,203.66703848298943,200.54210819854993,183.59843837144453,to_be_calculated
SP2-B201-G-L2.jpg,207.06134969325154,203.5170105967652,191.65588399330733,to_be_calculated
SP2-B201-G-L3.jpg,220.8365867261573,220.31121026213052,214.37255995538206,to_be_calculated
SP2-B201-G-L1.jpg,214.69492470719464,214.5041829336308,206.05131065253767,to_be_calculated
SP2-B201-G-H16.jpg,96.09927495817067,86.37088678192973,68.9765755716676,to_be_calculated
SP2-B201-G-L12.jpg,123.94366982710542,113.4813162297825,92.04852203011713,to_be_calculated
SP2-B201-G-L13.jpg,181.90462911321808,177.05298382598997,160.29503625209148,to_be_calculated
SP2-B201-G-H17.jpg,163.21528165086448,155.3569436698271,136.06358059118796,to_be_calculated
SP2-B201-G-H15.jpg,133.56609035136643,124.66090351366425,103.1834913552705,to_be_calculated
SP2-B201-G-L11.jpg,199.84216397099834,196.76519799219187,184.63747908533185,to_be_calculated
SP2-B201-G-L10.jpg,173.91745677635248,166.27216954824317,147.68321249302846,to_be_calculated
SP2-B201-G-H14.jpg,139.5298382598996,127.83993307306191,101.66424986056889,to_be_calculated
SP2-B201-G-H10.jpg,116.68488566648077,105.76408254322365,82.85833798103737,to_be_calculated
SP2-B201-G-L14.jpg,175.3195761293921,168.9079754601227,154.08588957055215,to_be_calculated
SP2-B201-G-H9.jpg,111.17289459007252,101.77858337981039,82.80145008365868,to_be_calculated
SP2-B201-G-H8.jpg,91.64026770775237,82.34188510875627,63.45566090351367,to_be_calculated
SP2-B201-G-L15.jpg,169.10652537646405,161.6302286670385,143.78750697155607,to_be_calculated
SP2-B201-G-H11.jpg,181.41885108756276,173.4110429447853,150.70552147239266,to_be_calculated
SP2-B201-G-H13.jpg,175.59843837144453,169.5950920245399,149.76129392080313,to_be_calculated
SP2-B201-G-L17.jpg,164.47295036252092,157.88232013385388,143.7568321249303,to_be_calculated
SP2-B201-G-L16.jpg,171.55716675962077,165.83379810373677,153.515895147797,to_be_calculated
SP2-B201-G-H12.jpg,146.35917456776355,137.21305075292807,116.09927495817067,to_be_calculated
