filename,R,G,B,BC_TOT
SP2-B201-G-H5.jpg,238.16199095022623,239.01990950226244,233.28742081447965,to_be_calculated
SP2-B201-G-H4.jpg,234.08923076923077,231.79149321266968,221.80886877828053,to_be_calculated
SP2-B201-G-H1.jpg,222.95131221719456,220.53466063348415,207.28307692307692,to_be_calculated
SP2-B201-G-H3.jpg,222.95221719457012,220.08597285067873,204.4675113122172,to_be_calculated
SP2-B201-G-H2.jpg,239.72090497737557,240.84054298642533,234.04850678733033,to_be_calculated
SP1-B201-G-3.jpg,216.78552036199093,213.77013574660634,199.63438914027148,to_be_calculated
SP1-B201-G-2.jpg,243.8235294117647,246.43203619909502,244.34877828054297,to_be_calculated
SP1-B201-G-1.jpg,248.2870588235294,213.50190045248868,188.69737556561086,to_be_calculated
SP1-B201-G-5.jpg,207.9395475113122,201.1475113122172,178.83004524886877,to_be_calculated
SP1-B201-G-4.jpg,230.08307692307693,227.45592760180995,214.2743891402715,to_be_calculated
SP1-B201-G-6.jpg,172.5533031674208,166.16886877828054,139.9837104072398,to_be_calculated
SP1-B201-G-7.jpg,224.13990950226244,220.8439819004525,206.9601809954751,to_be_calculated
SP2-B201-G-L4.jpg,246.71692307692308,247.70045248868777,245.88343891402715,to_be_calculated
SP2-B201-G-L2.jpg,230.85339366515836,228.73393665158372,216.83402714932126,to_be_calculated
SP2-B201-G-L3.jpg,240.35257918552037,241.19619909502262,236.79692307692306,to_be_calculated
SP2-B201-G-L1.jpg,236.1875113122172,237.81049773755655,230.14678733031673,to_be_calculated
