0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
[ 164.39275053   43.05607676   19.63923241],[ 116.81959766  144.40449924   19.9046074 ],[  49.16554622   72.44747899  143.56596639],[ 182.03151261  178.45021008  179.67836134],[ 190.40362473  189.38144989  188.50191898],[ 70.8565032   67.89509595  71.06204691],[ 58.53491436  58.08959157  60.72705314],[ 45.42358366  44.48660518  49.20443566],[ 35.77878788  35.02445887  38.86341991],[ 95.2987395   90.67794118  92.29495798],[ 110.21236674  105.46609808  107.22025586],[ 133.17185501  129.00042644  129.20405117],[ 150.34047619  145.43787879  145.61623377],[ 159.69976206  155.97620593  155.26562838],[ 168.77590309  165.22561108  162.6608263 ],[ 169.4829497   165.74467178  164.99232737],[ 159.8914125   155.82825005  155.34760978],[ 148.38742004  144.17057569  143.05053305],[ 134.13722944  129.7469697   127.52597403],[ 108.39637527  104.29381663  104.01023454],[ 94.03441558  90.09761905  90.13095238],[ 39.48913043  38.49765558  43.23167093],[ 48.69305646  46.73155959  51.63724854],[ 61.62758015  60.03491436  61.71958718],[ 73.88230127  70.38296004  70.61660079],[ 190.06510924  188.90330954  185.86545533],[ 181.18213281  177.47717932  176.63313865],[  55.85231092   77.37289916  147.73004202],[ 119.89437857  148.22551603   24.30127361],[ 169.02336145   48.76854856   25.32857452]
[ 162.08450704   42.61046878   19.4401934 ],[ 115.58464819  142.90063966   19.73646055],[  48.6443662    71.59755592  141.97203811],[ 181.41428571  177.86029412  179.20462185],[ 192.1663422   191.07960199  190.30975557],[ 71.39822626  68.72766602  71.62773091],[ 58.82081686  58.04040404  61.08651735],[ 45.74353832  44.83467023  49.52384135],[ 35.74891775  35.06125541  38.75887446],[ 94.91932773  90.52689076  92.1289916 ],[ 111.38027255  106.46290288  108.27146874],[ 132.90042644  128.70597015  128.90682303],[ 150.13787879  145.22337662  145.3512987 ],[ 159.74021198  155.98356046  155.34760978],[ 168.62989401  165.15336362  162.62124162],[ 169.11040068  165.31926684  164.70353794],[ 159.89552239  155.88622107  155.43651309],[ 150.0021631   145.85290937  144.7471339 ],[ 134.12987013  129.7474026   127.54978355],[ 108.44371002  104.25586354  104.03240938],[ 93.37228145  89.3         89.42537313],[ 39.43883205  38.41112532  43.22037511],[ 48.60683391  46.78179066  51.67538927],[ 61.58300395  60.23342117  62.9057971 ],[ 73.98484848  70.46376812  70.53227931],[ 193.1848924   191.99934124  188.82850242],[ 179.20895522  175.46034115  174.64115139],[  56.47547974   78.39765458  149.59978678],[ 120.15612648  148.55841019   24.54918753],[ 168.93856803   48.86588795   25.36772658]
[ 163.64818763   42.61727079   19.40597015],[ 114.65266525  142.36695096   19.13773987],[  48.22783761   70.89726595  141.37572494],[ 180.33529412  176.75168067  178.0105042 ],[ 191.46701276  190.44083928  189.42613022],[ 70.07761194  67.10938166  69.9761194 ],[ 57.39350649  56.63961039  59.97467532],[ 45.02283707  44.1027668   48.84826526],[ 35.23252344  34.38107417  38.59526854],[ 96.20722475  91.50183863  93.15877136],[ 109.35799574  104.25991471  106.01577825],[ 132.42515991  128.05778252  128.08678038],[ 148.07356077  143.04520256  143.28571429],[ 159.28509626  155.46138871  154.87540558],[ 168.14103396  164.77200952  162.24572788],[ 168.11402387  164.47506394  163.85059676],[ 158.93683755  155.01535799  154.58944408],[ 147.61061381  143.59079284  142.5170503 ],[ 130.29451335  126.32772756  124.60206012],[ 107.49914712  103.64008529  103.37249467],[ 92.95089769  89.05861994  89.14600909],[ 39.06035042  38.09647415  42.92753623],[ 47.4803838   45.6358209   50.51513859],[ 61.11220905  59.47408871  62.20926658],[ 72.42980748  68.9422453   69.19056889],[ 187.71513859  186.52366738  183.56332623],[ 178.89275053  175.11727079  174.20959488],[  55.28230277   77.10831557  148.28997868],[ 119.30237154  147.91216513   24.01800615],[ 166.34179104   47.67206823   24.70597015]
[ 165.4891258    43.74051173   19.83646055],[ 116.2761194   143.59402985   20.33795309],[  49.43848384   72.18309859  143.47431649],[ 182.99579832  179.3960084   180.59390756],[ 193.46441705  192.35345014  191.645252  ],[ 71.66780384  68.79701493  71.95373134],[ 59.13614719  58.33917749  61.33614719],[ 45.84299517  44.90974967  49.64053579],[ 36.06450216  35.2478355   39.56536797],[ 97.78507463  92.95799574  94.62132196],[ 111.1793177   106.36204691  108.20319829],[ 134.65586354  130.45970149  130.54733475],[ 149.81471215  145.13454158  145.29104478],[ 159.04093817  155.39189765  154.7228145 ],[ 169.92683983  166.38030303  163.84393939],[ 173.07008436  169.30759247  168.56283798],[ 161.32057106  157.38330089  156.98053212],[ 148.25756303  144.00483193  143.33802521],[ 134.45181237  130.0358209   127.98123667],[ 110.71252433  106.64114212  106.27103612],[ 95.37962362  91.47869349  91.50638114],[ 40.50616483  39.4657149   44.38741077],[ 49.62384717  47.70685112  52.70619236],[ 61.97187973  60.3370106   62.70798183],[ 74.3192732   70.77179321  70.9690677 ],[ 192.10880381  191.01168073  188.04239671],[ 183.74778283  179.97252866  179.05515899],[  56.08015742   78.05240265  147.79018227],[ 121.48067633  149.88296004   24.93939394],[ 171.66842336   49.62318841   25.30522617]
[ 165.03240938   43.15458422   19.96012793],[ 116.49360341  143.89637527   20.19083156],[  49.94863297   72.92481359  143.78458989],[ 181.18004202  177.56323529  178.84747899],[ 191.63292234  190.47717932  189.73913043],[ 72.40426439  69.53837953  72.82622601],[ 58.96780384  57.71812367  61.60149254],[ 46.47523253  45.54272118  50.15336362],[ 37.05753839  36.15098421  40.50270387],[ 97.58144989  92.6358209   94.46801706],[ 110.57846482  105.59040512  107.54712154],[ 133.72238806  129.46375267  129.59104478],[ 147.43781513  142.74432773  142.89894958],[ 158.1466951   154.42835821  153.67185501],[ 168.97597403  165.39978355  162.83463203],[ 171.26930565  167.5232533   166.75794938],[ 160.02465931  155.97101449  155.50140601],[ 148.93539446  144.654371    143.87164179],[ 131.75404667  127.43977297  125.45974354],[ 109.29317697  105.05351812  104.78933902],[ 94.94626866  90.97867804  91.12238806],[ 40.90484429  39.83109862  44.75346021],[ 50.2682241   48.13454467  53.18278174],[ 62.82608696  60.71212121  63.68006148],[ 75.02813853  71.4534632   71.3969697 ],[ 188.77206823  187.5989339   184.47633262],[ 180.76588486  177.01023454  176.09914712],[  56.88277311   78.82836134  149.        ],[ 121.2345191   149.70750988   24.50483092],[ 169.80194805   48.87489177   25.86255411]
[ 164.84776119   43.38763326   20.28891258],[ 117.65952844  145.36058836   20.46895955],[  51.00490405   74.75607676  147.41535181],[ 182.27773109  178.63382353  179.96155462],[ 192.93099719  191.79082847  191.09020117],[ 73.88167856  70.85939866  74.266061  ],[ 59.2206823   58.19445629  62.01172708],[ 46.88230127  45.89745279  50.65195433],[ 37.0819814   36.26195111  40.60653255],[ 97.69936975  92.94768908  94.7       ],[ 112.90828466  107.96149686  109.79731776],[ 135.83171101  131.48929267  131.62426995],[ 151.31103896  146.46774892  146.7047619 ],[ 158.02515991  154.33624733  153.7880597 ],[ 169.16093446  165.62253948  163.0908501 ],[ 170.87723785  167.1743393   166.50383632],[ 159.4043052   155.47719523  154.97357204],[ 149.82110874  145.71855011  144.57782516],[ 133.92893726  129.64959454  127.5522834 ],[ 111.14384599  107.23794073  106.98074843],[ 96.53644819  92.71468743  92.91261086],[ 41.39343564  40.40110827  45.32821824],[ 50.86869998  48.73631841  53.73653472],[ 63.38317962  61.44532279  64.46245059],[ 76.38888889  72.85485288  73.33706632],[ 193.81730347  192.65436978  189.81488801],[ 182.97036556  179.1884058   178.37335064],[  58.28464819   81.20469083  152.48059701],[ 121.25264979  149.45641358   25.03915207],[ 170.88795155   49.52065758   25.83971447]
[ 166.14773956   43.16331387   19.20246593],[ 113.375       141.1052521    18.59495798],[  48.24565037   70.91818558  142.01201326],[ 179.7237395   176.11953782  177.34222689],[ 191.59333766  190.54661475  189.33830846],[ 70.53027719  67.10319829  69.52835821],[ 57.33441488  56.75102747  59.52217175],[ 44.60912827  43.67813108  48.41423318],[ 35.27185501  34.60746269  38.30127932],[ 95.94116375  90.90330954  92.67315596],[ 110.36794289  105.10317975  106.7761194 ],[ 132.02025586  127.54477612  127.59253731],[ 148.21334186  143.14279625  143.38384484],[ 157.70938166  153.91705757  153.55970149],[ 168.88059701  165.48669695  163.17759031],[ 171.48880105  167.67369346  166.8561704 ],[ 158.61367078  154.43434999  153.82998053],[ 149.47025741  145.3614536   143.98615618],[ 131.76567164  127.75607676  126.40767591],[ 107.90426439  103.98997868  104.11513859],[ 93.31083712  89.27752542  89.44711226],[ 39.46575944  38.51448639  43.19622476],[ 48.66996047  46.57839262  51.45981555],[ 62.00044563  60.51292335  62.43939394],[ 72.57927753  69.08976855  69.7293965 ],[ 190.69435432  189.65001082  186.83646982],[ 180.18955224  176.43283582  175.61577825],[  55.28059701   76.97206823  147.94264392],[ 119.00373298  147.45322793   23.76174791],[ 170.05731225   48.79907773   25.01822574]
